dteday,year_month,day_name,season,casual,registered,cnt
2011-01-05,2011-01,Wed,springer,0,6,6
2011-01-05,2011-01,Wed,springer,0,2,2
2011-01-05,2011-01,Wed,springer,0,2,2
2011-01-05,2011-01,Wed,springer,0,3,3
2011-01-05,2011-01,Wed,springer,0,33,33
2011-01-05,2011-01,Wed,springer,1,87,88
2011-01-05,2011-01,Wed,springer,3,192,195
2011-01-05,2011-01,Wed,springer,6,109,115
2011-01-05,2011-01,Wed,springer,4,53,57
2011-01-05,2011-01,Wed,springer,12,34,46
2011-01-05,2011-01,Wed,springer,5,74,79
2011-01-05,2011-01,Wed,springer,6,65,71
2011-01-05,2011-01,Wed,springer,10,52,62
2011-01-05,2011-01,Wed,springer,7,55,62
2011-01-05,2011-01,Wed,springer,4,85,89
2011-01-05,2011-01,Wed,springer,4,186,190
2011-01-05,2011-01,Wed,springer,3,166,169
2011-01-05,2011-01,Wed,springer,5,127,132
2011-01-05,2011-01,Wed,springer,7,82,89
2011-01-05,2011-01,Wed,springer,3,40,43
2011-01-05,2011-01,Wed,springer,1,41,42
2011-01-05,2011-01,Wed,springer,1,18,19
2011-01-06,2011-01,Thu,springer,0,11,11
2011-01-06,2011-01,Thu,springer,0,4,4
2011-01-06,2011-01,Thu,springer,0,2,2
2011-01-06,2011-01,Thu,springer,0,1,1
2011-01-06,2011-01,Thu,springer,0,4,4
2011-01-06,2011-01,Thu,springer,0,36,36
2011-01-06,2011-01,Thu,springer,0,95,95
2011-01-06,2011-01,Thu,springer,3,216,219
2011-01-06,2011-01,Thu,springer,6,116,122
2011-01-06,2011-01,Thu,springer,3,42,45
2011-01-06,2011-01,Thu,springer,2,57,59
2011-01-06,2011-01,Thu,springer,6,78,84
2011-01-06,2011-01,Thu,springer,12,55,67
2011-01-06,2011-01,Thu,springer,11,59,70
2011-01-06,2011-01,Thu,springer,8,54,62
2011-01-06,2011-01,Thu,springer,12,74,86
2011-01-06,2011-01,Thu,springer,9,163,172
2011-01-06,2011-01,Thu,springer,5,158,163
2011-01-06,2011-01,Thu,springer,3,109,112
2011-01-06,2011-01,Thu,springer,3,66,69
2011-01-06,2011-01,Thu,springer,0,48,48
2011-01-06,2011-01,Thu,springer,1,51,52
2011-01-06,2011-01,Thu,springer,4,19,23
2011-01-07,2011-01,Fri,springer,4,13,17
2011-01-07,2011-01,Fri,springer,2,5,7
2011-01-07,2011-01,Fri,springer,0,1,1
2011-01-07,2011-01,Fri,springer,0,1,1
2011-01-07,2011-01,Fri,springer,0,5,5
2011-01-07,2011-01,Fri,springer,8,26,34
2011-01-07,2011-01,Fri,springer,8,76,84
2011-01-07,2011-01,Fri,springer,20,190,210
2011-01-07,2011-01,Fri,springer,9,125,134
2011-01-07,2011-01,Fri,springer,16,47,63
2011-01-07,2011-01,Fri,springer,19,48,67
2011-01-07,2011-01,Fri,springer,9,50,59
2011-01-07,2011-01,Fri,springer,9,64,73
2011-01-07,2011-01,Fri,springer,7,43,50
2011-01-07,2011-01,Fri,springer,9,63,72
2011-01-07,2011-01,Fri,springer,5,82,87
2011-01-07,2011-01,Fri,springer,9,178,187
2011-01-07,2011-01,Fri,springer,7,116,123
2011-01-07,2011-01,Fri,springer,3,92,95
2011-01-07,2011-01,Fri,springer,1,50,51
2011-01-07,2011-01,Fri,springer,0,39,39
2011-01-07,2011-01,Fri,springer,2,34,36
2011-01-07,2011-01,Fri,springer,1,14,15
2011-01-08,2011-01,Sat,springer,1,24,25
2011-01-08,2011-01,Sat,springer,1,15,16
2011-01-08,2011-01,Sat,springer,3,13,16
2011-01-08,2011-01,Sat,springer,0,7,7
2011-01-08,2011-01,Sat,springer,0,1,1
2011-01-08,2011-01,Sat,springer,0,5,5
2011-01-08,2011-01,Sat,springer,0,2,2
2011-01-08,2011-01,Sat,springer,1,8,9
2011-01-08,2011-01,Sat,springer,0,15,15
2011-01-08,2011-01,Sat,springer,0,20,20
2011-01-08,2011-01,Sat,springer,5,56,61
2011-01-08,2011-01,Sat,springer,2,60,62
2011-01-08,2011-01,Sat,springer,8,90,98
2011-01-08,2011-01,Sat,springer,7,95,102
2011-01-08,2011-01,Sat,springer,12,83,95
2011-01-08,2011-01,Sat,springer,5,69,74
2011-01-08,2011-01,Sat,springer,8,68,76
2011-01-08,2011-01,Sat,springer,5,64,69
2011-01-08,2011-01,Sat,springer,3,52,55
2011-01-08,2011-01,Sat,springer,4,26,30
2011-01-08,2011-01,Sat,springer,0,28,28
2011-01-08,2011-01,Sat,springer,2,35,37
2011-01-08,2011-01,Sat,springer,1,33,34
2011-01-08,2011-01,Sat,springer,0,22,22
2011-01-09,2011-01,Sun,springer,1,24,25
2011-01-09,2011-01,Sun,springer,0,12,12
2011-01-09,2011-01,Sun,springer,0,11,11
2011-01-09,2011-01,Sun,springer,0,4,4
2011-01-09,2011-01,Sun,springer,0,1,1
2011-01-09,2011-01,Sun,springer,0,1,1
2011-01-09,2011-01,Sun,springer,0,1,1
2011-01-09,2011-01,Sun,springer,1,5,6
2011-01-09,2011-01,Sun,springer,0,10,10
2011-01-09,2011-01,Sun,springer,0,19,19
2011-01-09,2011-01,Sun,springer,0,49,49
2011-01-09,2011-01,Sun,springer,2,47,49
2011-01-09,2011-01,Sun,springer,4,79,83
2011-01-09,2011-01,Sun,springer,6,69,75
2011-01-09,2011-01,Sun,springer,8,64,72
2011-01-09,2011-01,Sun,springer,5,77,82
2011-01-09,2011-01,Sun,springer,13,79,92
2011-01-09,2011-01,Sun,springer,3,59,62
2011-01-09,2011-01,Sun,springer,4,44,48
2011-01-09,2011-01,Sun,springer,1,40,41
2011-01-09,2011-01,Sun,springer,0,38,38
2011-01-09,2011-01,Sun,springer,1,19,20
2011-01-09,2011-01,Sun,springer,5,10,15
2011-01-09,2011-01,Sun,springer,0,6,6
2011-01-10,2011-01,Mon,springer,2,3,5
2011-01-10,2011-01,Mon,springer,1,0,1
2011-01-10,2011-01,Mon,springer,0,3,3
2011-01-10,2011-01,Mon,springer,0,1,1
2011-01-10,2011-01,Mon,springer,1,2,3
2011-01-10,2011-01,Mon,springer,0,3,3
2011-01-10,2011-01,Mon,springer,0,31,31
2011-01-10,2011-01,Mon,springer,2,75,77
2011-01-10,2011-01,Mon,springer,4,184,188
2011-01-10,2011-01,Mon,springer,2,92,94
2011-01-10,2011-01,Mon,springer,0,31,31
2011-01-10,2011-01,Mon,springer,2,28,30
2011-01-10,2011-01,Mon,springer,5,47,52
2011-01-10,2011-01,Mon,springer,4,50,54
2011-01-10,2011-01,Mon,springer,0,47,47
2011-01-10,2011-01,Mon,springer,2,43,45
2011-01-10,2011-01,Mon,springer,4,70,74
2011-01-10,2011-01,Mon,springer,4,174,178
2011-01-10,2011-01,Mon,springer,1,154,155
2011-01-10,2011-01,Mon,springer,3,92,95
2011-01-10,2011-01,Mon,springer,1,73,74
2011-01-10,2011-01,Mon,springer,1,37,38
2011-01-10,2011-01,Mon,springer,2,22,24
2011-01-10,2011-01,Mon,springer,0,18,18
2011-01-11,2011-01,Tue,springer,2,10,12
2011-01-11,2011-01,Tue,springer,0,3,3
2011-01-11,2011-01,Tue,springer,0,3,3
2011-01-11,2011-01,Tue,springer,0,6,6
2011-01-11,2011-01,Tue,springer,0,27,27
2011-01-11,2011-01,Tue,springer,2,97,99
2011-01-11,2011-01,Tue,springer,3,214,217
2011-01-11,2011-01,Tue,springer,3,127,130
2011-01-11,2011-01,Tue,springer,3,51,54
2011-01-11,2011-01,Tue,springer,4,31,35
2011-01-11,2011-01,Tue,springer,2,55,57
2011-01-11,2011-01,Tue,springer,6,46,52
2011-01-11,2011-01,Tue,springer,3,60,63
2011-01-11,2011-01,Tue,springer,2,45,47
2011-01-11,2011-01,Tue,springer,4,72,76
2011-01-11,2011-01,Tue,springer,6,130,136
2011-01-11,2011-01,Tue,springer,1,94,95
2011-01-11,2011-01,Tue,springer,0,51,51
2011-01-11,2011-01,Tue,springer,0,32,32
2011-01-11,2011-01,Tue,springer,0,20,20
2011-01-11,2011-01,Tue,springer,1,28,29
2011-01-11,2011-01,Tue,springer,1,18,19
2011-01-12,2011-01,Wed,springer,0,7,7
2011-01-12,2011-01,Wed,springer,0,6,6
2011-01-12,2011-01,Wed,springer,0,1,1
2011-01-12,2011-01,Wed,springer,0,5,5
2011-01-12,2011-01,Wed,springer,0,16,16
2011-01-12,2011-01,Wed,springer,0,54,54
2011-01-12,2011-01,Wed,springer,3,125,128
2011-01-12,2011-01,Wed,springer,3,78,81
2011-01-12,2011-01,Wed,springer,0,39,39
2011-01-12,2011-01,Wed,springer,3,32,35
2011-01-12,2011-01,Wed,springer,3,52,55
2011-01-12,2011-01,Wed,springer,0,49,49
2011-01-12,2011-01,Wed,springer,0,44,44
2011-01-12,2011-01,Wed,springer,1,48,49
2011-01-12,2011-01,Wed,springer,5,63,68
2011-01-12,2011-01,Wed,springer,0,139,139
2011-01-12,2011-01,Wed,springer,2,135,137
2011-01-12,2011-01,Wed,springer,1,82,83
2011-01-12,2011-01,Wed,springer,2,54,56
2011-01-12,2011-01,Wed,springer,0,57,57
2011-01-12,2011-01,Wed,springer,1,32,33
2011-01-12,2011-01,Wed,springer,1,19,20
2011-01-13,2011-01,Thu,springer,1,6,7
2011-01-13,2011-01,Thu,springer,0,2,2
2011-01-13,2011-01,Thu,springer,0,2,2
2011-01-13,2011-01,Thu,springer,0,3,3
2011-01-13,2011-01,Thu,springer,0,4,4
2011-01-13,2011-01,Thu,springer,0,3,3
2011-01-13,2011-01,Thu,springer,0,28,28
2011-01-13,2011-01,Thu,springer,0,72,72
2011-01-13,2011-01,Thu,springer,5,197,202
2011-01-13,2011-01,Thu,springer,2,137,139
2011-01-13,2011-01,Thu,springer,2,36,38
2011-01-13,2011-01,Thu,springer,4,33,37
2011-01-13,2011-01,Thu,springer,3,49,52
2011-01-13,2011-01,Thu,springer,2,81,83
2011-01-13,2011-01,Thu,springer,3,39,42
2011-01-13,2011-01,Thu,springer,5,55,60
2011-01-13,2011-01,Thu,springer,2,76,78
2011-01-13,2011-01,Thu,springer,4,158,162
2011-01-13,2011-01,Thu,springer,3,141,144
2011-01-13,2011-01,Thu,springer,1,98,99
2011-01-13,2011-01,Thu,springer,0,64,64
2011-01-13,2011-01,Thu,springer,0,40,40
2011-01-13,2011-01,Thu,springer,0,30,30
2011-01-13,2011-01,Thu,springer,1,14,15
2011-01-14,2011-01,Fri,springer,0,14,14
2011-01-14,2011-01,Fri,springer,0,5,5
2011-01-14,2011-01,Fri,springer,0,1,1
2011-01-14,2011-01,Fri,springer,0,1,1
2011-01-14,2011-01,Fri,springer,0,8,8
2011-01-14,2011-01,Fri,springer,0,17,17
2011-01-14,2011-01,Fri,springer,0,70,70
2011-01-14,2011-01,Fri,springer,2,156,158
2011-01-14,2011-01,Fri,springer,0,117,117
2011-01-14,2011-01,Fri,springer,4,40,44
2011-01-14,2011-01,Fri,springer,6,47,53
2011-01-14,2011-01,Fri,springer,2,59,61
2011-01-14,2011-01,Fri,springer,4,73,77
2011-01-14,2011-01,Fri,springer,5,59,64
2011-01-14,2011-01,Fri,springer,9,59,68
2011-01-14,2011-01,Fri,springer,3,87,90
2011-01-14,2011-01,Fri,springer,4,155,159
2011-01-14,2011-01,Fri,springer,5,134,139
2011-01-14,2011-01,Fri,springer,3,89,92
2011-01-14,2011-01,Fri,springer,0,68,68
2011-01-14,2011-01,Fri,springer,4,48,52
2011-01-14,2011-01,Fri,springer,2,34,36
2011-01-14,2011-01,Fri,springer,1,26,27
2011-01-15,2011-01,Sat,springer,3,25,28
2011-01-15,2011-01,Sat,springer,2,18,20
2011-01-15,2011-01,Sat,springer,0,12,12
2011-01-15,2011-01,Sat,springer,1,7,8
2011-01-15,2011-01,Sat,springer,0,5,5
2011-01-15,2011-01,Sat,springer,0,1,1
2011-01-15,2011-01,Sat,springer,1,2,3
2011-01-15,2011-01,Sat,springer,1,9,10
2011-01-15,2011-01,Sat,springer,1,22,23
2011-01-15,2011-01,Sat,springer,2,31,33
2011-01-15,2011-01,Sat,springer,2,57,59
2011-01-15,2011-01,Sat,springer,18,54,72
2011-01-15,2011-01,Sat,springer,15,74,89
2011-01-15,2011-01,Sat,springer,21,80,101
2011-01-15,2011-01,Sat,springer,26,92,118
2011-01-15,2011-01,Sat,springer,21,108,129
2011-01-15,2011-01,Sat,springer,33,95,128
2011-01-15,2011-01,Sat,springer,29,54,83
2011-01-15,2011-01,Sat,springer,15,69,84
2011-01-15,2011-01,Sat,springer,14,60,74
2011-01-15,2011-01,Sat,springer,6,35,41
2011-01-15,2011-01,Sat,springer,6,51,57
2011-01-15,2011-01,Sat,springer,0,26,26
2011-01-15,2011-01,Sat,springer,5,39,44
2011-01-16,2011-01,Sun,springer,6,33,39
2011-01-16,2011-01,Sun,springer,4,19,23
2011-01-16,2011-01,Sun,springer,3,13,16
2011-01-16,2011-01,Sun,springer,9,6,15
2011-01-16,2011-01,Sun,springer,0,1,1
2011-01-16,2011-01,Sun,springer,1,1,2
2011-01-16,2011-01,Sun,springer,0,1,1
2011-01-16,2011-01,Sun,springer,0,3,3
2011-01-16,2011-01,Sun,springer,0,18,18
2011-01-16,2011-01,Sun,springer,3,29,32
2011-01-16,2011-01,Sun,springer,8,71,79
2011-01-16,2011-01,Sun,springer,23,70,93
2011-01-16,2011-01,Sun,springer,29,75,104
2011-01-16,2011-01,Sun,springer,23,95,118
2011-01-16,2011-01,Sun,springer,22,69,91
2011-01-16,2011-01,Sun,springer,35,78,113
2011-01-16,2011-01,Sun,springer,22,77,99
2011-01-16,2011-01,Sun,springer,23,82,105
2011-01-16,2011-01,Sun,springer,11,56,67
2011-01-16,2011-01,Sun,springer,14,47,61
2011-01-16,2011-01,Sun,springer,7,50,57
2011-01-16,2011-01,Sun,springer,6,22,28
2011-01-16,2011-01,Sun,springer,2,19,21
2011-01-16,2011-01,Sun,springer,0,18,18
2011-01-17,2011-01,Mon,springer,1,16,17
2011-01-17,2011-01,Mon,springer,1,15,16
2011-01-17,2011-01,Mon,springer,0,8,8
2011-01-17,2011-01,Mon,springer,0,2,2
2011-01-17,2011-01,Mon,springer,1,2,3
2011-01-17,2011-01,Mon,springer,0,1,1
2011-01-17,2011-01,Mon,springer,0,5,5
2011-01-17,2011-01,Mon,springer,4,9,13
2011-01-17,2011-01,Mon,springer,3,30,33
2011-01-17,2011-01,Mon,springer,8,39,47
2011-01-17,2011-01,Mon,springer,7,50,57
2011-01-17,2011-01,Mon,springer,9,55,64
2011-01-17,2011-01,Mon,springer,10,70,80
2011-01-17,2011-01,Mon,springer,13,80,93
2011-01-17,2011-01,Mon,springer,12,74,86
2011-01-17,2011-01,Mon,springer,21,72,93
2011-01-17,2011-01,Mon,springer,6,76,82
2011-01-17,2011-01,Mon,springer,4,67,71
2011-01-17,2011-01,Mon,springer,7,85,92
2011-01-17,2011-01,Mon,springer,2,58,60
2011-01-17,2011-01,Mon,springer,4,29,33
2011-01-17,2011-01,Mon,springer,3,24,27
2011-01-17,2011-01,Mon,springer,0,13,13
2011-01-17,2011-01,Mon,springer,1,3,4
2011-01-18,2011-01,Tue,springer,0,3,3
2011-01-18,2011-01,Tue,springer,0,22,22
2011-01-18,2011-01,Tue,springer,2,26,28
2011-01-18,2011-01,Tue,springer,3,32,35
2011-01-18,2011-01,Tue,springer,0,61,61
2011-01-18,2011-01,Tue,springer,1,124,125
2011-01-18,2011-01,Tue,springer,1,132,133
2011-01-18,2011-01,Tue,springer,1,98,99
2011-01-18,2011-01,Tue,springer,0,83,83
2011-01-18,2011-01,Tue,springer,0,41,41
2011-01-18,2011-01,Tue,springer,0,33,33
2011-01-18,2011-01,Tue,springer,1,19,20
2011-01-19,2011-01,Wed,springer,0,3,3
2011-01-19,2011-01,Wed,springer,1,6,7
2011-01-19,2011-01,Wed,springer,0,3,3
2011-01-19,2011-01,Wed,springer,1,1,2
2011-01-19,2011-01,Wed,springer,0,7,7
2011-01-19,2011-01,Wed,springer,0,32,32
2011-01-19,2011-01,Wed,springer,1,89,90
2011-01-19,2011-01,Wed,springer,1,196,197
2011-01-19,2011-01,Wed,springer,2,107,109
2011-01-19,2011-01,Wed,springer,1,46,47
2011-01-19,2011-01,Wed,springer,5,47,52
2011-01-19,2011-01,Wed,springer,5,65,70
2011-01-19,2011-01,Wed,springer,11,67,78
2011-01-19,2011-01,Wed,springer,7,68,75
2011-01-19,2011-01,Wed,springer,4,78,82
2011-01-19,2011-01,Wed,springer,10,94,104
2011-01-19,2011-01,Wed,springer,7,190,197
2011-01-19,2011-01,Wed,springer,5,156,161
2011-01-19,2011-01,Wed,springer,4,108,112
2011-01-19,2011-01,Wed,springer,2,74,76
2011-01-19,2011-01,Wed,springer,4,55,59
2011-01-19,2011-01,Wed,springer,6,53,59
2011-01-19,2011-01,Wed,springer,1,27,28
2011-01-20,2011-01,Thu,springer,5,8,13
2011-01-20,2011-01,Thu,springer,2,3,5
2011-01-20,2011-01,Thu,springer,0,2,2
2011-01-20,2011-01,Thu,springer,0,1,1
2011-01-20,2011-01,Thu,springer,0,1,1
2011-01-20,2011-01,Thu,springer,0,6,6
2011-01-20,2011-01,Thu,springer,0,35,35
2011-01-20,2011-01,Thu,springer,1,100,101
2011-01-20,2011-01,Thu,springer,2,247,249
2011-01-20,2011-01,Thu,springer,3,140,143
2011-01-20,2011-01,Thu,springer,1,56,57
2011-01-20,2011-01,Thu,springer,5,63,68
2011-01-20,2011-01,Thu,springer,7,77,84
2011-01-20,2011-01,Thu,springer,12,86,98
2011-01-20,2011-01,Thu,springer,6,75,81
2011-01-20,2011-01,Thu,springer,8,62,70
2011-01-20,2011-01,Thu,springer,8,83,91
2011-01-20,2011-01,Thu,springer,8,207,215
2011-01-20,2011-01,Thu,springer,1,184,185
2011-01-20,2011-01,Thu,springer,6,146,152
2011-01-20,2011-01,Thu,springer,2,124,126
2011-01-20,2011-01,Thu,springer,3,54,57
2011-01-20,2011-01,Thu,springer,0,56,56
2011-01-20,2011-01,Thu,springer,3,28,31
2011-01-21,2011-01,Fri,springer,1,20,21
2011-01-21,2011-01,Fri,springer,0,6,6
2011-01-21,2011-01,Fri,springer,0,2,2
2011-01-21,2011-01,Fri,springer,0,1,1
2011-01-21,2011-01,Fri,springer,0,1,1
2011-01-21,2011-01,Fri,springer,1,4,5
2011-01-21,2011-01,Fri,springer,0,27,27
2011-01-21,2011-01,Fri,springer,2,66,68
2011-01-21,2011-01,Fri,springer,7,210,217
2011-01-21,2011-01,Fri,springer,7,159,166
2011-01-21,2011-01,Fri,springer,6,57,63
2011-01-21,2011-01,Fri,springer,6,53,59
2011-01-21,2011-01,Fri,springer,11,67,78
2011-01-21,2011-01,Fri,springer,8,65,73
2011-01-21,2011-01,Fri,springer,6,56,62
2011-01-21,2011-01,Fri,springer,4,61,65
2011-01-21,2011-01,Fri,springer,0,97,97
2011-01-21,2011-01,Fri,springer,10,151,161
2011-01-21,2011-01,Fri,springer,1,119,120
2011-01-21,2011-01,Fri,springer,3,93,96
2011-01-21,2011-01,Fri,springer,1,52,53
2011-01-21,2011-01,Fri,springer,0,41,41
2011-01-21,2011-01,Fri,springer,1,33,34
2011-01-21,2011-01,Fri,springer,0,27,27
2011-01-22,2011-01,Sat,springer,0,13,13
2011-01-22,2011-01,Sat,springer,3,9,12
2011-01-22,2011-01,Sat,springer,0,11,11
2011-01-22,2011-01,Sat,springer,1,6,7
2011-01-22,2011-01,Sat,springer,0,3,3
2011-01-22,2011-01,Sat,springer,0,2,2
2011-01-22,2011-01,Sat,springer,0,8,8
2011-01-22,2011-01,Sat,springer,1,26,27
2011-01-22,2011-01,Sat,springer,3,37,40
2011-01-22,2011-01,Sat,springer,3,50,53
2011-01-22,2011-01,Sat,springer,4,59,63
2011-01-22,2011-01,Sat,springer,10,60,70
2011-01-22,2011-01,Sat,springer,12,72,84
2011-01-22,2011-01,Sat,springer,11,64,75
2011-01-22,2011-01,Sat,springer,10,93,103
2011-01-22,2011-01,Sat,springer,11,72,83
2011-01-22,2011-01,Sat,springer,8,59,67
2011-01-22,2011-01,Sat,springer,0,54,54
2011-01-22,2011-01,Sat,springer,6,53,59
2011-01-22,2011-01,Sat,springer,1,44,45
2011-01-22,2011-01,Sat,springer,0,39,39
2011-01-22,2011-01,Sat,springer,7,23,30
2011-01-22,2011-01,Sat,springer,2,31,33
2011-01-23,2011-01,Sun,springer,2,20,22
2011-01-23,2011-01,Sun,springer,1,12,13
2011-01-23,2011-01,Sun,springer,3,15,18
2011-01-23,2011-01,Sun,springer,1,4,5
2011-01-23,2011-01,Sun,springer,0,3,3
2011-01-23,2011-01,Sun,springer,0,1,1
2011-01-23,2011-01,Sun,springer,1,1,2
2011-01-23,2011-01,Sun,springer,2,17,19
2011-01-23,2011-01,Sun,springer,3,25,28
2011-01-23,2011-01,Sun,springer,7,51,58
2011-01-23,2011-01,Sun,springer,22,77,99
2011-01-23,2011-01,Sun,springer,24,92,116
2011-01-23,2011-01,Sun,springer,12,75,87
2011-01-23,2011-01,Sun,springer,17,93,110
2011-01-23,2011-01,Sun,springer,13,64,77
2011-01-23,2011-01,Sun,springer,9,56,65
2011-01-23,2011-01,Sun,springer,5,50,55
2011-01-23,2011-01,Sun,springer,5,44,49
2011-01-23,2011-01,Sun,springer,5,45,50
2011-01-23,2011-01,Sun,springer,4,31,35
2011-01-23,2011-01,Sun,springer,5,20,25
2011-01-23,2011-01,Sun,springer,5,23,28
2011-01-23,2011-01,Sun,springer,4,17,21
2011-01-24,2011-01,Mon,springer,0,7,7
2011-01-24,2011-01,Mon,springer,0,1,1
2011-01-24,2011-01,Mon,springer,0,1,1
2011-01-24,2011-01,Mon,springer,0,1,1
2011-01-24,2011-01,Mon,springer,0,5,5
2011-01-24,2011-01,Mon,springer,0,15,15
2011-01-24,2011-01,Mon,springer,5,79,84
2011-01-24,2011-01,Mon,springer,6,171,177
2011-01-24,2011-01,Mon,springer,4,98,102
2011-01-24,2011-01,Mon,springer,6,34,40
2011-01-24,2011-01,Mon,springer,3,43,46
2011-01-24,2011-01,Mon,springer,11,52,63
2011-01-24,2011-01,Mon,springer,6,54,60
2011-01-24,2011-01,Mon,springer,2,43,45
2011-01-24,2011-01,Mon,springer,7,50,57
2011-01-24,2011-01,Mon,springer,4,66,70
2011-01-24,2011-01,Mon,springer,6,178,184
2011-01-24,2011-01,Mon,springer,8,145,153
2011-01-24,2011-01,Mon,springer,5,101,106
2011-01-24,2011-01,Mon,springer,1,80,81
2011-01-24,2011-01,Mon,springer,6,53,59
2011-01-24,2011-01,Mon,springer,3,32,35
2011-01-24,2011-01,Mon,springer,3,21,24
2011-01-25,2011-01,Tue,springer,3,6,9
2011-01-25,2011-01,Tue,springer,0,5,5
2011-01-25,2011-01,Tue,springer,0,2,2
2011-01-25,2011-01,Tue,springer,0,1,1
2011-01-25,2011-01,Tue,springer,0,9,9
2011-01-25,2011-01,Tue,springer,1,35,36
2011-01-25,2011-01,Tue,springer,5,103,108
2011-01-25,2011-01,Tue,springer,5,233,238
2011-01-25,2011-01,Tue,springer,10,134,144
2011-01-25,2011-01,Tue,springer,6,49,55
